"Trait","Method","Mean_DIC","SD_DIC","Delta_DIC","Wprob","ER","N","r","p_value","RMSE","MAE","Bias","Slope","Mean_fold_r","SD_fold_r","Mean_fold_RMSE","SD_fold_RMSE","Mean_fold_MAE","SD_fold_MAE","Selected_method","Is_selected"
"MMCOM","RRBLUP",-19.2750319096293,7.30890027453188,0.477681383382709,0.182203970404794,1.26977623456578,150,0.525940308592607,4.80054478460517e-12,0.228220432796006,0.182479145867834,-0.0056762406307145,0.80096342813552,0.534034044223768,0.100488624620347,0.227192128083392,0.0241945986362693,0.182479145867834,0.016475000185395,"GBLUP",FALSE
"MMCOM","BayesA",-18.3950933848076,7.05568114931419,1.35761990820443,0.117349599994997,1.97153012429014,150,0.528284338675173,3.710840054289e-12,0.227500349784934,0.182723225475108,-0.00564603526793063,0.812365068236177,0.536176534725438,0.100090854838845,0.22655536807584,0.0231590788970548,0.182723225475108,0.0153896802931301,"GBLUP",FALSE
"MMCOM","BayesB",-17.6471150133765,6.83167128083247,2.10559827963552,0.0807346884920903,2.86566128865663,150,0.529697938028748,3.17411507894115e-12,0.22711686047782,0.182554261320401,-0.00556574061201816,0.817853143275134,0.53729322141689,0.0996607098563109,0.226259824365456,0.0220386079249144,0.182554261320401,0.0142448360246068,"GBLUP",FALSE
"MMCOM","BayesB2",-18.3757205161275,7.00296811461001,1.37699277688454,0.116218388348321,1.99072001213892,150,0.528527611909943,3.61258474196543e-12,0.227442475636217,0.18266071006546,-0.00559079660755778,0.812992506680068,0.536347180352283,0.100313464228675,0.226497726984879,0.0231532771496391,0.18266071006546,0.0153938775804328,"GBLUP",FALSE
"MMCOM","BayesC",-18.4696944989489,7.0260408843979,1.28301879406316,0.121809466108016,1.89934558335864,150,0.528652359154097,3.56318463933924e-12,0.227413909960734,0.182155551742756,-0.0055131044605093,0.813237792350078,0.536371946648319,0.100389150058868,0.22649419494776,0.0228436560831061,0.182155551742756,0.0151263536343117,"GBLUP",FALSE
"MMCOM","BL",-19.752713293012,7.38971035780323,0,0.231358271463535,1,150,0.5260352031672,4.75094898053803e-12,0.228256566393274,0.181901633837766,-0.00583432472965502,0.799561332688931,0.533932312014362,0.0992856495820622,0.227265162571716,0.0237593661241929,0.181901633837766,0.0164882202240804,"GBLUP",FALSE
"MMCOM","GBLUP",-18.8903857761347,6.43788238870431,0.862327516877372,0.150325615188246,1.53904756134752,150,0.535247937022749,1.70675860252354e-12,0.225470160751887,0.182110155919601,-0.00413160596516194,0.846478901619426,0.541554225328637,0.100211027654607,0.224686813601864,0.0209949155429011,0.182110155919601,0.0137920765207747,"GBLUP",TRUE
"PRODCOM","RRBLUP",1069.69129212577,6.10407017516919,0.858432827049683,0.148082997558806,1.53605342116477,150,0.328656682204426,4.02236568580797e-05,20.6035758406305,16.1919463889249,-0.25614784009298,0.651622280864914,0.336566420767464,0.0725517662480994,20.5258277307876,1.99929155785324,16.1919463889249,2.18314882644122,"GBLUP",FALSE
"PRODCOM","BayesA",1070.03385372812,6.12498625382261,1.20099442939636,0.12477250382186,1.82302500991157,150,0.336499208196243,2.55114458834155e-05,20.4418944084091,16.0351482860341,-0.203422020040093,0.695453120128945,0.345934321280207,0.0841679526519153,20.3639272528019,1.99421470983611,16.0351482860341,2.16651743529315,"GBLUP",FALSE
"PRODCOM","BayesB",1070.29057406005,5.9742501670416,1.4577147613229,0.109741976668571,2.07271093451775,150,0.337448388747686,2.41232687814402e-05,20.4204583572108,15.9968828141182,-0.232168419624028,0.702499476759908,0.348354575216145,0.0847142917556914,20.3452263986143,1.95795885672784,15.9968828141182,2.15627305285584,"GBLUP",FALSE
"PRODCOM","BayesB2",1070.05087551769,6.1202100795922,1.21801621896498,0.12371508434568,1.83860679738106,150,0.337531186104002,2.40056120077298e-05,20.4263215405492,16.0258183140039,-0.19775189290079,0.699472404776695,0.347113572572381,0.0845836484527649,20.3472159303776,2.00792665468992,16.0258183140039,2.17227209581576,"GBLUP",FALSE
"PRODCOM","BayesC",1069.83113813676,5.91613964064715,0.998278838031183,0.138082302926852,1.64730302287206,150,0.333368883477898,3.06414570148851e-05,20.5096408466434,16.0796150100267,-0.265040573255698,0.675756626837153,0.342961478170769,0.0762909345597021,20.4341783837155,1.96523581307539,16.0796150100267,2.16843254110156,"GBLUP",FALSE
"PRODCOM","BL",1069.98056396281,5.79754906710406,1.14770466408436,0.128141739661693,1.77509214107023,150,0.313984714679089,9.1245733241428e-05,20.8767092748098,16.386232853295,-0.354410510782661,0.594283885476133,0.320153336614708,0.0608011616611449,20.8066271480386,1.91090844476987,16.386232853295,2.21949754506777,"GBLUP",FALSE
"PRODCOM","GBLUP",1068.83285929872,6.23925666055975,0,0.227463395016539,1,150,0.346801579879698,1.37629857027182e-05,20.2830606679189,16.025940435776,-0.139065359600756,0.740714889769645,0.359188421276,0.0973306898050643,20.1993643807048,2.05798101120763,16.025940435776,2.16652548329328,"GBLUP",TRUE
"PRODEF","RRBLUP",714.337022819463,10.0347578681559,0.885470525408095,0.137879931149006,1.55696009437125,150,0.0424336314366531,0.606141850490587,4.89616133836688,3.9353459928232,0.112844981274136,0.107728656563763,0.116469406677305,0.150208434138029,4.84428955854316,0.794712624402929,3.9353459928232,0.561745227225609,"GBLUP",FALSE
