"Trait","Rank","IND","FAM","Method","Selection_objective","Ranking_rule","Genomic_value","Selection_score","OOF_predictive_direction","OOF_nominal_signal","OOF_r","OOF_nominal_p_value","Selection_proportion","N_available","N_selected"
"MMCOM",28,"116","2","RRBLUP","increase","maximize_genomic_value",0.061213483209143,0.061213483209143,"positive","positive_nominal_p_lt_0.05",0.525940308592607,4.80054478460517e-12,0.2,150,30
"MMCOM",29,"1","1","RRBLUP","increase","maximize_genomic_value",0.0605102250330386,0.0605102250330386,"positive","positive_nominal_p_lt_0.05",0.525940308592607,4.80054478460517e-12,0.2,150,30
"MMCOM",30,"92","10","RRBLUP","increase","maximize_genomic_value",0.0581005913166914,0.0581005913166914,"positive","positive_nominal_p_lt_0.05",0.525940308592607,4.80054478460517e-12,0.2,150,30
"PRODCOM",1,"119","4","GBLUP","increase","maximize_genomic_value",10.7383128083723,10.7383128083723,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",2,"130","4","GBLUP","increase","maximize_genomic_value",8.70611251222944,8.70611251222944,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",3,"105","2","GBLUP","increase","maximize_genomic_value",8.43744556493174,8.43744556493174,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",4,"120","4","GBLUP","increase","maximize_genomic_value",7.35388452433983,7.35388452433983,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",5,"24","5","GBLUP","increase","maximize_genomic_value",7.09719721983379,7.09719721983379,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",6,"118","4","GBLUP","increase","maximize_genomic_value",6.99046200313227,6.99046200313227,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",7,"101","10","GBLUP","increase","maximize_genomic_value",6.10478584374156,6.10478584374156,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",8,"1","1","GBLUP","increase","maximize_genomic_value",5.5644956707218,5.5644956707218,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",9,"19","5","GBLUP","increase","maximize_genomic_value",5.05278260783056,5.05278260783056,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",10,"63","8","GBLUP","increase","maximize_genomic_value",5.04362613549245,5.04362613549245,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",11,"140","6","GBLUP","increase","maximize_genomic_value",5.01275688170125,5.01275688170125,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",12,"84","9","GBLUP","increase","maximize_genomic_value",4.30756406334168,4.30756406334168,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
"PRODCOM",13,"67","8","GBLUP","increase","maximize_genomic_value",4.10523932127544,4.10523932127544,"positive","positive_nominal_p_lt_0.05",0.346801579879698,1.37629857027182e-05,0.2,150,30
