"Trait","N_available","N_selected","Score_last_selected","Score_first_not_selected","Exact_boundary_tie"
"MMCOM",150,30,0.0581005913166914,0.0571891615619666,FALSE
"PRODCOM",150,30,2.20753409346824,2.01083356402869,FALSE
"PRODEF",150,30,1.0321998448326,1.00212055257924,FALSE
"CF",150,30,0.783478037015606,0.774679799685888,FALSE
"DF",150,30,0.218472587627086,0.211725302614389,FALSE
"DCI",150,30,0.219618643450808,0.206917742938408,FALSE
"FFC",150,30,0.244889829303167,0.241043573159434,FALSE
"FFP",150,30,0.0407595463314994,0.0398228277266632,FALSE
"SS",150,30,0.289937329128282,0.281905169603363,FALSE
