"Parameter","Retained_samples","Posterior_mean","Posterior_SD","Effective_sample_size","Geweke_Z","Review_flag"
"Residual_variance",200000,302.546045877,44.8462681918994,171825.405268652,0.478992340566328,FALSE
"Marker_variance",200000,3.520578895981,1.40380165110391,67901.7192182228,0.62730161490352,FALSE
